catDiff,Lab 1,Lab 2, Variant Count
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 12
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 31
Uncertain significance - Benign,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 25
Uncertain significance - Likely benign,GeneDx,Emory Genetics Laboratory, 40
Uncertain significance - Benign,GeneDx,Emory Genetics Laboratory, 53
Pathogenic - Likely pathogenic,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM),OMIM, 32
Likely pathogenic - Pathogenic,Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM),Emory Genetics Laboratory, 7
Likely benign - Likely pathogenic,Genetic Services Laboratory  University of Chicago,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 1
Uncertain significance - Benign,Genetic Services Laboratory  University of Chicago,OMIM, 2
Pathogenic - Uncertain significance,Clinical Biochemistry Laboratory UCL Hospitals,OMIM, 2
Pathogenic - Benign,GeneReviews,OMIM, 7
Likely pathogenic - Pathogenic,Counsyl,Clinical Biochemistry Laboratory UCL Hospitals, 14
Benign - Uncertain significance,Emory Genetics Laboratory,Clinical Biochemistry Laboratory UCL Hospitals, 2
Uncertain significance - Pathogenic,Emory Genetics Laboratory,Clinical Biochemistry Laboratory UCL Hospitals, 1
Pathogenic - Likely pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,OMIM, 22
Uncertain significance - Pathogenic,Emory Genetics Laboratory,OMIM, 1
Benign - Likely benign,Emory Genetics Laboratory,Invitae, 3
Pathogenic - Benign,Emory Genetics Laboratory,GeneReviews, 10
Likely benign - Benign,Genetic Services Laboratory  University of Chicago,LabCorp, 6
Benign - Likely benign,LabCorp,Genetic Services Laboratory  University of Chicago, 6
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Division of Human Genetics Children's Hospital of Philadelphia, 1
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Blueprint Genetics, 5
Uncertain significance - Likely benign,GeneDx,Blueprint Genetics, 9
Likely benign - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 2
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 5
Benign - Likely benign,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 6
Uncertain significance - Likely benign,Invitae,Blueprint Genetics, 1
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Emory Genetics Laboratory, 4
Benign - Likely benign,GeneDx,Emory Genetics Laboratory, 44
Pathogenic - Likely benign,Genetic Services Laboratory  University of Chicago,OMIM, 9
Uncertain significance - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 1
Uncertain significance - Likely pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,Laboratory for Medical Science Mathematics RIKEN, 2
Benign - Likely benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 8
Pathogenic - Likely pathogenic,Blueprint Genetics,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Uncertain significance,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 16
Pathogenic - Likely benign,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Pathogenic - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Benign,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 6
Pathogenic - Likely benign,Invitae,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Likely benign - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Blueprint Genetics, 1
Pathogenic - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 13
Pathogenic - Uncertain significance,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,OMIM, 6
Pathogenic - Uncertain significance,GeneDx,OMIM, 43
Pathogenic - Likely benign,GeneDx,OMIM, 3
Uncertain significance - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 5
Uncertain significance - Likely benign,Emory Genetics Laboratory,OMIM, 2
Uncertain significance - Benign,GeneDx,OMIM, 8
Uncertain significance - Pathogenic,OMIM,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Likely benign - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 21
Likely benign - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 60
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Likely pathogenic - Uncertain significance,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 46
Likely pathogenic - Pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,OMIM, 2
Uncertain significance - Likely benign,Invitae,Emory Genetics Laboratory, 2
Uncertain significance - Likely benign,Invitae,Ambry Genetics, 3
Benign - Likely benign,Invitae,Ambry Genetics, 37
Pathogenic - Uncertain significance,Invitae,OMIM, 6
Pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,OMIM, 29
Pathogenic - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 14
Pathogenic - Uncertain significance,Ambry Genetics,OMIM, 22
Pathogenic - Uncertain significance,Pathway Genomics,OMIM, 2
Benign - Likely benign,GeneDx,Ambry Genetics, 172
Uncertain significance - Benign,Ambry Genetics,Biesecker Laboratory - ClinSeq Project  NHGRI, 34
Uncertain significance - Likely benign,Ambry Genetics,GeneDx, 44
Benign - Likely benign,Invitae,Emory Genetics Laboratory, 9
Uncertain significance - Likely benign,Ambry Genetics,Invitae, 22
Likely benign - Benign,Ambry Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 3
Uncertain significance - Likely benign,Invitae,CSER_CC_NCGL; University of Washington Medical Center, 1
Uncertain significance - Likely benign,Invitae,Biesecker Laboratory - ClinSeq Project  NHGRI, 9
Likely benign - Uncertain significance,Invitae,Ambry Genetics, 7
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 2
Uncertain significance - Likely benign,Pathway Genomics,Biesecker Laboratory - ClinSeq Project  NHGRI, 5
Uncertain significance - Likely benign,Ambry Genetics,Biesecker Laboratory - ClinSeq Project  NHGRI, 26
Pathogenic - Likely benign,Invitae,OMIM, 4
Pathogenic - Likely benign,Pathway Genomics,OMIM, 2
Uncertain significance - Benign,Ambry Genetics,GeneDx, 12
Uncertain significance - Likely benign,Invitae,GeneDx, 12
Likely pathogenic - Uncertain significance,GeneDx,Ambry Genetics, 1
Likely pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,Ambry Genetics, 2
Likely benign - Benign,GeneDx,Invitae, 57
Uncertain significance - Likely benign,GeneDx,Invitae, 6
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Biesecker Laboratory - ClinSeq Project  NHGRI, 9
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Invitae, 1
Benign - Likely benign,Emory Genetics Laboratory,Ambry Genetics, 3
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,GeneDx, 4
Uncertain significance - Benign,Invitae,GeneDx, 3
Uncertain significance - Benign,Pathway Genomics,GeneDx, 1
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,Ambry Genetics, 1
Benign - Uncertain significance,Ambry Genetics,GeneDx, 4
Benign - Uncertain significance,Ambry Genetics,Invitae, 3
Pathogenic - Likely pathogenic,Institute for Integrative and Experimental Genomics University of Luebeck,OMIM, 3
Pathogenic - Uncertain significance,Clinical Memory Research Unit  Department of Clinical Sciences, Lund University,OMIM, 1
Pathogenic - Likely pathogenic,LabCorp,OMIM, 21
Benign - Uncertain significance,Genetic Services Laboratory  University of Chicago,Emory Genetics Laboratory, 10
Uncertain significance - Likely pathogenic,OMIM,Section of Medical Genetics; Telemark Hospital, 2
Benign - Pathogenic,OMIM,GeneReviews, 1
Pathogenic - Uncertain significance,Genetic Services Laboratory  University of Chicago,OMIM, 4
Pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 1
Uncertain significance - Likely benign,Division of Genomic Diagnostics The Children's Hospital of Philadelphia,Genetic Services Laboratory  University of Chicago, 1
Pathogenic - Likely pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,Genetic Services Laboratory  University of Chicago, 2
Benign - Likely benign,GeneReviews,Genetic Services Laboratory  University of Chicago, 24
Uncertain significance - Likely benign,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 12
Uncertain significance - Benign,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 24
Benign - Uncertain significance,GeneDx,Genetic Services Laboratory  University of Chicago, 30
Benign - Uncertain significance,GeneReviews,Genetic Services Laboratory  University of Chicago, 8
Pathogenic - Uncertain significance,Genetic Services Laboratory  University of Chicago,GeneReviews, 1
Pathogenic - Uncertain significance,Emory Genetics Laboratory,GeneReviews, 9
Pathogenic - Likely pathogenic,Ambry Genetics,OMIM, 11
Pathogenic - Likely pathogenic,Counsyl,Ambry Genetics, 9
Likely benign - Uncertain significance,GeneDx,Ambry Genetics, 10
Uncertain significance - Likely benign,Emory Genetics Laboratory,GeneDx, 2
Pathogenic - Likely pathogenic,Counsyl,GeneDx, 9
Likely benign - Benign,Invitae,GeneDx, 6
Likely benign - Uncertain significance,GeneDx,Emory Genetics Laboratory, 8
Likely benign - Benign,Ambry Genetics,GeneDx, 12
Likely benign - Benign,Emory Genetics Laboratory,GeneDx, 3
Likely benign - Benign,Ambry Genetics,Genetic Services Laboratory  University of Chicago, 16
Likely benign - Benign,Invitae,Genetic Services Laboratory  University of Chicago, 3
Pathogenic - Uncertain significance,Invitae,GeneDx, 2
Uncertain significance - Benign,Emory Genetics Laboratory,GeneDx, 2
Pathogenic - Likely pathogenic,Ambry Genetics,GeneDx, 4
Pathogenic - Benign,Ambry Genetics,OMIM, 12
Likely benign - Benign,GeneDx,Ambry Genetics, 6
Likely benign - Uncertain significance,GeneDx,Invitae, 5
Likely benign - Uncertain significance,Genetic Services Laboratory  University of Chicago,Ambry Genetics, 1
Uncertain significance - Benign,GeneDx,Ambry Genetics, 4
Uncertain significance - Likely pathogenic,GeneDx,Invitae, 2
Likely benign - Benign,Ambry Genetics,Invitae, 21
Likely benign - Benign,Emory Genetics Laboratory,Invitae, 6
Uncertain significance - Pathogenic,GeneDx,Invitae, 1
Uncertain significance - Likely pathogenic,GeneDx,Ambry Genetics, 8
Uncertain significance - Benign,GeneDx,Invitae, 4
Likely pathogenic - Pathogenic,Ambry Genetics,GeneDx, 6
Benign - Uncertain significance,GeneDx,Ambry Genetics, 3
Benign - Uncertain significance,GeneDx,Invitae, 1
Uncertain significance - Likely pathogenic,Ambry Genetics,GeneDx, 4
Uncertain significance - Likely pathogenic,Ambry Genetics,Counsyl, 1
Pathogenic - Likely pathogenic,Counsyl,Invitae, 2
Uncertain significance - Likely pathogenic,Invitae,GeneDx, 3
Likely benign - Uncertain significance,Genetic Services Laboratory  University of Chicago,Emory Genetics Laboratory, 12
Likely benign - Uncertain significance,Genetic Services Laboratory  University of Chicago,GeneDx, 4
Likely benign - Benign,Emory Genetics Laboratory,LabCorp, 36
Likely pathogenic - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,LabCorp, 11
Pathogenic - Likely pathogenic,Counsyl,Genetic Services Laboratory  University of Chicago, 4
Likely pathogenic - Pathogenic,LabCorp,Genetic Services Laboratory  University of Chicago, 1
Pathogenic - Likely pathogenic,Genetic Services Laboratory  University of Chicago,OMIM, 7
Pathogenic - Benign,Genetic Services Laboratory  University of Chicago,LabCorp, 1
Likely benign - Pathogenic,LabCorp,Genetic Services Laboratory  University of Chicago, 1
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,LabCorp, 2
Benign - Uncertain significance,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 36
Pathogenic - Benign,Genetic Services Laboratory  University of Chicago,OMIM, 4
Likely benign - Benign,GeneReviews,Genetic Services Laboratory  University of Chicago, 1
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 3
Benign - Likely benign,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 51
Pathogenic - Likely pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 6
Uncertain significance - Likely benign,GeneDx,OMIM, 3
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 3
Likely benign - Uncertain significance,Ambry Genetics,GeneDx, 8
Pathogenic - Likely benign,LabCorp,OMIM, 4
Uncertain significance - Likely benign,Invitae,LabCorp, 1
Likely pathogenic - Pathogenic,LabCorp,Quest Diagnostics Nichols Institute San Juan Capistrano, 1
Benign - Likely benign,GeneReviews,Department of Ophthalmology and Visual Sciences Kyoto University, 4
Benign - Likely benign,Emory Genetics Laboratory,Pathway Genomics, 1
Benign - Uncertain significance,GeneDx,Emory Genetics Laboratory, 63
Benign - Uncertain significance,Invitae,Ambry Genetics, 3
Likely pathogenic - Uncertain significance,Ambry Genetics,GeneDx, 9
Benign - Likely benign,Emory Genetics Laboratory,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 8
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center, 2
Benign - Uncertain significance,GeneDx,Greenwood Genetic Center Diagnostic Laboratories Greenwood Genetic Center, 1
Pathogenic - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 4
Pathogenic - Uncertain significance,Emory Genetics Laboratory,GeneDx, 2
Pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 1
Pathogenic - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 2
Pathogenic - Likely pathogenic,Baylor Miraca Genetics Laboratories,GeneDx, 1
Likely benign - Benign,GeneDx,Emory Genetics Laboratory, 7
Uncertain significance - Likely benign,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 49
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 2
Uncertain significance - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Breast Cancer Information Core (BIC) (BRCA1), 11
Uncertain significance - Benign,Counsyl,Breast Cancer Information Core (BIC) (BRCA1), 1
Uncertain significance - Benign,GeneDx,Breast Cancer Information Core (BIC) (BRCA1), 6
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA1), 42
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),GeneDx, 63
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Ambry Genetics, 40
Likely benign - Benign,Breast Cancer Information Core (BIC) (BRCA1),Invitae, 2
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Pathway Genomics, 9
Benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Breast Cancer Information Core (BIC) (BRCA1), 4
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Breast Cancer Information Core (BIC) (BRCA1), 27
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 7
Likely benign - Benign,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 9
Likely benign - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Sharing Clinical Reports Project (SCRP), 10
Benign - Likely benign,Invitae,CSER_CC_NCGL; University of Washington Medical Center, 5
Benign - Likely benign,Invitae,Counsyl, 31
Benign - Likely benign,Invitae,Pathway Genomics, 5
Benign - Likely benign,Invitae,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 16
Pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA1),Sharing Clinical Reports Project (SCRP), 10
Uncertain significance - Benign,Sharing Clinical Reports Project (SCRP),Biesecker Laboratory - ClinSeq Project  NHGRI, 7
Likely pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA1),Sharing Clinical Reports Project (SCRP), 4
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Ambry Genetics, 5
Benign - Likely benign,Invitae,GeneDx, 10
Benign - Uncertain significance,Invitae,Breast Cancer Information Core (BIC) (BRCA1), 18
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Ambry Genetics, 23
Benign - Uncertain significance,Invitae,CSER_CC_NCGL; University of Washington Medical Center, 8
Uncertain significance - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Biesecker Laboratory - ClinSeq Project  NHGRI, 12
Uncertain significance - Benign,Invitae,Biesecker Laboratory - ClinSeq Project  NHGRI, 17
Uncertain significance - Benign,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 15
Uncertain significance - Likely benign,Counsyl,Biesecker Laboratory - ClinSeq Project  NHGRI, 9
Uncertain significance - Benign,Pathway Genomics,Biesecker Laboratory - ClinSeq Project  NHGRI, 3
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Emory Genetics Laboratory, 5
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 11
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),CSER_CC_NCGL; University of Washington Medical Center, 6
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Counsyl, 31
Uncertain significance - Benign,Sharing Clinical Reports Project (SCRP),Invitae, 6
Uncertain significance - Benign,Ambry Genetics,Invitae, 4
Uncertain significance - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Invitae, 2
Pathogenic - Uncertain significance,Breast Cancer Information Core (BIC) (BRCA1),OMIM, 6
Likely benign - Uncertain significance,Invitae,Breast Cancer Information Core (BIC) (BRCA1), 4
Likely benign - Uncertain significance,Invitae,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 9
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Emory Genetics Laboratory, 7
Pathogenic - Likely pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,OMIM, 20
Likely benign - Benign,GeneDx,Sharing Clinical Reports Project (SCRP), 6
Likely benign - Benign,Counsyl,Sharing Clinical Reports Project (SCRP), 1
Likely benign - Benign,Invitae,Sharing Clinical Reports Project (SCRP), 3
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),CSER_CC_NCGL; University of Washington Medical Center, 1
Benign - Likely benign,GeneDx,Counsyl, 2
Benign - Uncertain significance,GeneDx,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 12
Uncertain significance - Likely benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Biesecker Laboratory - ClinSeq Project  NHGRI, 2
Likely benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),GeneDx, 10
Benign - Likely benign,Sharing Clinical Reports Project (SCRP),Invitae, 18
Uncertain significance - Likely benign,Sharing Clinical Reports Project (SCRP),Invitae, 8
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),CSER_CC_NCGL; University of Washington Medical Center, 4
Uncertain significance - Likely benign,Sharing Clinical Reports Project (SCRP),GeneDx, 1
Pathogenic - Likely benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,OMIM, 2
Pathogenic - Benign,Invitae,OMIM, 3
Pathogenic - Likely benign,Counsyl,OMIM, 1
Pathogenic - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),OMIM, 3
Pathogenic - Benign,Sharing Clinical Reports Project (SCRP),OMIM, 2
Benign - Uncertain significance,Sharing Clinical Reports Project (SCRP),Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 12
Uncertain significance - Likely benign,GeneDx,Sharing Clinical Reports Project (SCRP), 7
Likely benign - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Biesecker Laboratory - ClinSeq Project  NHGRI, 5
Likely benign - Benign,Invitae,Biesecker Laboratory - ClinSeq Project  NHGRI, 7
Likely benign - Benign,Sharing Clinical Reports Project (SCRP),Biesecker Laboratory - ClinSeq Project  NHGRI, 3
Likely benign - Benign,Breast Cancer Information Core (BIC) (BRCA1),Biesecker Laboratory - ClinSeq Project  NHGRI, 2
Likely benign - Benign,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 14
Likely benign - Benign,Ambry Genetics,Biesecker Laboratory - ClinSeq Project  NHGRI, 13
Likely benign - Benign,Emory Genetics Laboratory,Biesecker Laboratory - ClinSeq Project  NHGRI, 7
Uncertain significance - Likely benign,Ambry Genetics,Sharing Clinical Reports Project (SCRP), 9
Uncertain significance - Benign,Evidence-based Network for the Interpretation of Germline Mutant Alleles (ENIGMA),Sharing Clinical Reports Project (SCRP), 3
